"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Randy"," Bullock","6","2014","4","5","1","106","26","26","35","26","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Dan"," Carpenter","6","2014","2","4","1","139","32","32","36","33","4","96","26","26","27","22","2","0","0","4","3","1","0","0","4","3","1"
" Chandler"," Catanzaro","6","2014","12","19","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","2","0","2","2","2","2","0"
" Mason"," Crosby","6","2014","9","10","0","151","42","42","37","33","5","117","50","50","33","21","2","6","6","0","0","0","6","6","0","0","0"
" Billy"," Cundiff","6","2014","7","11","1","99","32","32","26","21","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","2","2","0","3","3","2","2","0"
" Phil"," Dawson","6","2014","9","18","0","148","44","44","36","32","4","130","29","29","31","29","7","1","1","5","5","2","1","1","5","5","2"
" Kai"," Forbath","6","2014","8","10","0","82","26","26","22","18","1","86","34","33","18","17","1","2","2","1","1","0","2","2","1","1","0"
" Graham"," Gano","6","2014","13","17","0","126","42","42","27","24","6","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","1","1","0","4","4","1","1","0"
" Stephen"," Gostkowski","6","2014","15","8","0","168","44","44","41","38","5","157","66","66","35","29","2","4","4","5","5","0","4","4","5","5","0"
" Robbie"," Gould","6","2014","7","14","0","129","46","45","29","26","3","100","33","33","25","21","2","3","3","2","1","0","3","3","2","1","0"
" Stephen"," Hauschka","6","2014","11","11","1","149","44","44","35","33","3","120","48","46","27","24","1","3","3","2","2","0","3","3","2","2","0"
" Brandon"," McManus","6","2014","7","18","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","5","5","3","2","0","5","5","3","2","0"
" Patrick"," Murray","6","2014","5","9","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","1","1","1","4","4","1","1","1"
" Nick"," Novak","6","2014","7","21","0","148","42","42","37","34","2","91","33","33","20","18","2","4","4","1","1","0","4","4","1","1","0"
" Mike"," Nugent","6","2014","13","12","1","112","53","52","22","18","3","94","35","35","23","19","1","2","2","2","1","0","2","2","2","1","0"
