"fname","lname","week","yr","actual","rating","home","pts_1y","ruyds_1y","rutd_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","ruatt_2y","ruyds_2y","rutd_2y","rerec_2y","reyds_2y","retd_2y","ruyds_1wk","rutd_1wk","rerec_1wk","reyds_1wk","retd_1wk","ruyds_2wk","rutd_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Alshon"," Jeffery","5","2014","15","11","0","187","105","0","89","1421","7","51","0","0","0","24","367","3","12","0","4","39","1","13","0","8","105","0"
" Andre"," Johnson","5","2014","5","13","0","161","0","0","109","1407","5","176","0","0","0","112","1598","4","0","0","6","71","0","0","0","4","24","0"
" Andre"," Roberts","5","2014","8","20","1","51","0","0","43","471","2","100","4","29","0","64","759","5","2","0","1","18","1","0","0","4","38","0"
" Anquan"," Boldin","5","2014","7","15","1","153","11","0","85","1179","7","111","1","3","0","65","921","4","0","0","5","62","0","0","0","6","36","0"
" Antonio"," Brown","5","2014","8","21","0","191","4","0","110","1499","8","98","7","24","0","66","787","5","0","0","7","131","2","0","0","10","90","2"
" Brandin"," Cooks","5","2014","6","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","31","0","0","0","8","74","0"
" Brandon"," LaFell","5","2014","2","15","1","86","15","0","49","627","5","88","3","35","0","44","677","4","0","0","6","119","1","0","0","4","46","0"
" Brandon"," Marshall","5","2014","4","11","0","198","0","0","100","1295","12","210","1","-2","0","118","1508","11","0","0","2","19","1","0","0","1","6","0"
" Brandon"," Lloyd","5","2014","7","15","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","108","0","0","0","74","911","4","0","0","2","28","0","0","0","1","5","0"
" Brenton"," Bersin","5","2014","2","9","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","12","0","0","0","1","29","0"
" Cole"," Beasley","5","2014","2","2","1","40","0","0","39","368","2","9","0","0","0","15","128","0","0","0","2","14","0","0","0","1","9","0"
" Davante"," Adams","5","2014","7","15","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","18","0","0","0","2","11","0"
